url,category,confidence,reason
https://www.mdc.edu/,Other/Uncategorized,0.00,no-rule
https://www.mdc.edu/about/,Other/Uncategorized,0.00,no-rule
https://www.mdc.edu/accreditation/,Other/Uncategorized,0.00,no-rule
https://www.mdc.edu/future-students/,Admissions & Getting Started,0.90,path:admissions
https://www.mdc.edu/president/,Other/Uncategorized,0.00,no-rule
https://www.mdc.edu/about/community.aspx,Other/Uncategorized,0.00,no-rule
https://www.mdc.edu/campus-finder/,Campuses & Locations,0.90,path:campusfinder
https://www.mdc.edu/jobs/,Other/Uncategorized,0.00,no-rule
https://news.mdc.edu/,News & Press,0.90,host:news
https://www.mdc.edu/academics/,"Programs, Degrees & Catalog",0.92,path:academics
https://www.mdc.edu/catalog/,"Programs, Degrees & Catalog",0.92,path:academics
https://www.mdc.edu/academics/calendar/,"Programs, Degrees & Catalog",0.92,path:academics
https://www.mdc.edu/honorscollege/,Other/Uncategorized,0.00,no-rule
https://www.mdc.edu/online/,MDC Online,0.86,path:online
https://www.mdc.edu/ce/,Continuing Education (non-credit),0.90,path:ce
https://www.mdc.edu/highschool/,Other/Uncategorized,0.00,no-rule
https://nwsa.mdc.edu/,"Programs, Degrees & Catalog",0.80,host:academic-subdomain
https://www.mdc.edu/learning-resources/,Library & Research,0.90,path:library
https://www.mdc.edu/learning-resources/about/,Library & Research,0.90,path:library
https://mdcwap.mdc.edu/apply,Admissions & Getting Started,0.90,path:admissions
https://www.mdc.edu/admissions-info/,Admissions & Getting Started,0.90,path:admissions
https://www.mdc.edu/advisement/,Advising & Registration,0.90,path:advising
https://www.mdc.edu/registration/,Advising & Registration,0.90,path:advising
https://www.mdc.edu/transcripts/,Advising & Registration,0.90,path:advising
https://www.mdc.edu/veterans/,Veterans & Military,0.95,path:vets
https://www.mdc.edu/internationalstudents/,International Students,0.95,path:intl
https://www.mdc.edu/testing/,Testing & Placement,0.90,path:testing
https://www.mdc.edu/tuition/,Costs & Payments,0.92,path:costs
https://www.mdc.edu/financialaid/,Financial Aid & Scholarships,0.92,path:aid
https://www.mdc.edu/scholarships/,Financial Aid & Scholarships,0.92,path:aid
https://www.mdc.edu/costs/,Costs & Payments,0.92,path:costs
https://www.mdc.edu/workstudy/,Financial Aid & Scholarships,0.92,path:aid
https://www.mdc.edu/arts-culture/,Other/Uncategorized,0.00,no-rule
https://www.mdc.edu/mdcworks/,Career Services (MDC WORKS),0.90,path:mdcworks
https://calendar.mdc.edu/,Events & Calendar,0.90,host:calendar
https://www.mdc.edu/studentlife/,Student Resources & Support,0.90,path:student-resources
https://www.mdc.edu/student-wellness/,Student Resources & Support,0.90,path:student-resources
https://www.mdc.edu/singlestop/,Student Resources & Support,0.90,path:student-resources
https://www.mdc.edu/safety/,Public Safety & Emergency,0.85,path:safety
